id,nombre,precio,imagen,categoriaId
84,Paquete de 3 Variadas,399,donas_11,4
85,Dona Natural con Chocolate,199,donas_12,4
86,Paquete de 3 Donas de Chocolate con Chispas,399,donas_13,4
87,Dona Chocolate y Coco,199,donas_14,4
88,Paquete Galletas de Chocolate,299,galletas_01,6
89,Paquete Galletas de Chocolate y Avena,399,galletas_02,6
90,Paquete de Muffins de Vainilla,399,galletas_03,6
91,Paquete de 4 Galletas de Avena,249,galletas_04,6
92,Galletas de Mantequilla Variadas,399,galletas_05,6
93,Galletas de sabores frutales,399,galletas_06,6
94,Hamburguesa Sencilla,599,hamburguesas_01,2
95,Hamburguesa de Pollo,599,hamburguesas_02,2
96,Hamburguesa de Pollo y Chili,599,hamburguesas_03,2
97,Hamburguesa Queso y Pepinos,599,hamburguesas_04,2
98,Hamburguesa Cuarto de Libra,599,hamburguesas_05,2
99,Hamburguesa Doble Queso,699,hamburguesas_06,2
100,Hot Dog Especial,499,hamburguesas_07,2
101,Paquete 2 Hot Dogs,699,hamburguesas_08,2
102,4 Rebanadas de Pay de Queso,699,pastel_01,5
103,Waffle Especial,499,pastel_02,5
104,Croissants De la casa,399,pastel_03,5
105,Pay de Queso,199,pastel_04,5
106,Pastel de Chocolate,299,pastel_05,5
107,Rebanada Pastel de Chocolate,299,pastel_06,5
108,Pizza Spicy con Doble Queso,699,pizzas_01,3
109,Pizza Jamón y Queso,699,pizzas_02,3
110,Pizza Doble Queso,699,pizzas_03,3
111,Pizza Especial de la Casa,699,pizzas_04,3
112,Pizza Chorizo,699,pizzas_05,3
113,Pizza Hawaiana,699,pizzas_06,3
114,Pizza Tocino,699,pizzas_07,3
115,Pizza Vegetales y Queso,699,pizzas_08,3
116,Pizza Pepperoni y Queso,699,pizzas_09,3
117,Pizza Aceitunas y Queso,699,pizzas_10,3
118,"Pizza Queso, Jamón y Champiñones",699,pizzas_11,3
